file_name,prompt
encycl_740.jpeg,"Cutaway rendering of a Magnetized Liner Inertial Fusion (MagLIF) load assembly displaying the target, magnetic-field coils, and final transmission line."
papers_3440.jpeg,Sealed experimental section attached to a furnace with molten corium contacting concrete.
web_519.jpeg,Photograph of nuclear icebreaker Ural moving across the sea.
web_13.jpeg,"A model of the ZETA generator, Britain’s first nuclear fusion experiment"
web_28.jpeg,"Westinghouse VVER-440 NOVA E-6 fuel bundles at the Dukovany nuclear facility, Czech Republic."
encycl_335.jpeg,SEALER main system diagram.
web_53.jpeg,TVEL TVS-K PWR fuel assembly showing bundled fuel rods.
malradai_186.jpeg,Indian pool-configuration molten salt breeder reactor.
web_133.jpeg,Internal layout concept of an ALIP MR-12 micro-fission reactor.
web_218.jpeg,BWXT-Crowley floating microreactor vessel concept.
malradai_329.jpeg,Display of the MISTRAL-4 setup.
encycl_675.jpeg,JET tokamak devices.
web_456.jpeg,Michell Bearings-branded bearing assemblies for reactor coolant pumps and other industrial equipment.
web_478.jpeg,Fully assembled VVER-1200 reactor unit at Rooppur in Bangladesh.
web_159.jpeg,Cutaway view of a Pacific Fusion pulsed-power inertial-fusion system.
web_264.jpeg,Reddish trinitite fragments from the 1945 Trinity nuclear test with glassy surfaces and mineral inclusions.
web_3.jpeg,Overhead view of the ZETA nuclear fusion experiment.
web_419.jpeg,Suspended RITM-200 nuclear reactor.
web_508.jpeg,Sanmen 3 core makeup tank B.
web_503.jpeg,A core catcher at Hungary’s Paks II site.
web_69.jpeg,MITR-II research reactor core emitting blue Cherenkov glow.
papers_47607.jpeg,Photograph showing the Passive Nachwärmeabfuhr und Druckabbau Test Anlage facility.
web_379.jpeg,Prototype fuel rods shown for General Atomics' fast modular reactor concept.
web_5.jpeg,A segment of the ITER fusion machine’s vacuum vessel in France.
web_479.jpeg,Zap Energy's compact modular fusion energy prototype device.
web_70.jpeg,Interior of the FRM II high-flux research reactor hall at TUM.
web_493.jpeg,A spent nuclear fuel storage pool at the Sellafield nuclear facility in northwest England.
encycl_810.jpeg,"Diagram of the BR2 reactor illustrating its distinctive layout, with the central beryllium matrix and its 79 irradiation channels visible."
encycl_637.jpeg,JIMO spacecraft heat-pipe-cooled reactor concept.
malradai_326.jpeg,Interior of the control room.
web_533.jpeg,Close-up of nuclear fuel bundles being inserted into the OL3 pressurized water reactor core.
encycl_402.jpeg,CASTOR V/19 bolted steel storage cask.
malradai_299.jpeg,CM2 computer.
web_141.jpeg,Brick-built Studio model of the CROCUS zero-power nuclear fission reactor.
web_220.jpeg,General Fusion PI3 plasma-injector prototype in a magneto-inertial fusion test assembly.
encycl_65.jpeg,Mark I containment arrangement.
web_393.jpeg,The Wendelstein 7-X stellarator at Germany’s Max Planck Institute for Plasma Physics.
malradai_301.jpeg,A 2005 view inside the control room.
encycl_230.jpeg,ACP100 small modular nuclear reactor layout with NPIC/CNNC China identification.
encycl_755.jpeg,Z-pinch fusion facility.
web_347.jpeg,NuScale VOYGR-6 small modular reactor facility at the Doicesti SMR site in Romania.
web_106.jpeg,University of Seville SMART spherical tokamak fusion apparatus.
web_89.jpeg,EAST superconducting tokamak during high-density fusion plasma operation.
web_104.jpeg,First Light Fusion impact-driven inertial fusion system with an amplifier.
web_404.jpeg,Russian T-15 nuclear fusion reactor with inspectors nearby.
web_155.jpeg,Unbroken SiGA SiC composite fuel rod labeled 120-day PWR irradiation test.
web_222.jpeg,Automated metrology apparatus at ORNL with Pu-238 oxide pellets in a production setup.
web_283.jpeg,Partially built electrostatic proton accelerator and beamline for boron neutron capture therapy at Nagoya University.
web_489.jpeg,Image of the Kudankulam-4 nuclear power plant under construction in southern India.
web_496.jpeg,Norway’s JEEP II research reactor facility.
web_411.jpeg,Overhead cranes lower ITER’s cryostat base into the tokamak pit during reactor assembly.
web_136.jpeg,Pool of the UW-Madison 1-MW TRIGA research reactor.
web_512.jpeg,Cutaway diagram of the Polish POLA high-temperature gas-cooled reactor.
web_277.jpeg,Standard fuel replacement procedure at the High Flux Isotope Reactor (HFIR) at ORNL.
web_289.jpeg,Prototype nuclear-waste canister seated within a borehole receptacle at an outdoor field test site.
papers_6302.jpeg,"Transient Reactor Test Facility, 48 in."
web_59.jpeg,Prototype accident-tolerant fuel assemblies with UO2/U-Mo pellets and chromium-based cladding.
web_473.jpeg,Rosatom's experimental plasma electric rocket engine prototype in a laboratory.
web_265.jpeg,First Light Fusion’s CEO standing next to the 22-meter gas gun used in pulsed-fusion impact testing.
papers_31759.jpeg,"Top-view photograph of the modified STACY inside the core tank, with fuel rods, guide pins, and safety plates arranged in the core."
web_110.jpeg,ST40 spherical tokamak fusion machine.
web_361.jpeg,Kronos MMR high-temperature gas-cooled microreactor concept visualization.
web_287.jpeg,ORNL-made 3D-printed reactor-core parts.
web_50.jpeg,DARPA DRACO nuclear-thermal-propulsion spacecraft displayed in orbit.
web_33.jpeg,VVER reactor MOX fuel test assembly positioned in the MIR research reactor.
web_365.jpeg,The top head of the reactor pressure vessel being removed at Hamaoka Nuclear Power Plant Unit 1.
malradai_166.jpeg,Proposed control and safety rod drive assembly for the FBR-600.
encycl_614.jpeg,An MMRTG spacecraft power generator unit.
malradai_165.jpeg,Reactor fuel compacts for a compact high-temperature reactor.
encycl_644.jpeg,"DUFF flattop fission demonstration apparatus, laboratory experiment setup."
encycl_379.jpeg,A 2013 view of Kewaunee Nuclear Station’s reactor and turbine buildings.
papers_36980.jpeg,Various spacer grid examples.
web_143.jpeg,North Carolina State University PULSTAR 1-MW nuclear research reactor.
web_246.jpeg,Full-size MARVEL microreactor prototype installed in the INL machine shop.
encycl_524.jpeg,Shielded proportional counter detectors.
web_180.jpeg,Layered Li-6 composite disk neutron detector with visible scintillating glass inserts.
web_21.jpeg,Accident-tolerant PWR fuel bundle showing chromium-coated rods and chromia-enhanced fuel pellets.
web_413.jpeg,A modern dual ion beam facility located in Zagreb.
encycl_741.jpeg,Laser-driven inertial fusion energy target assembly.
web_150.jpeg,Rows of depleted uranium hexafluoride cylinders in the Paducah UF6 storage yard
web_342.jpeg,ITER tokamak construction site with massive fusion reactor buildings and large facility infrastructure visible.
papers_3616.jpeg,Submerged photograph of the CABRI reactor core with labels indicating several UO2 rod fuel assembly locations.
web_185.jpeg,Spherical TRISO fuel pebbles displayed with a Kairos Power fluoride-salt-cooled reactor label.
malradai_331.jpeg,Visible layout of the BASALA-C/REF setup.
web_39.jpeg,Westinghouse VVER-440 fuel bundles being inserted into the Loviisa-2 reactor during refuelling.
web_81.jpeg,HTR-PM high-temperature gas-cooled reactor with adjacent uranium recovery processing equipment.
encycl_985.jpeg,Field flow calibration equipment on a natural gas pipeline and a sulfuric acid production line
malradai_135.jpeg,"Concept view of TORIA, a thorium-based accelerator-driven system."
web_92.jpeg,UNITY-2 tritium fuel-cycle facility with integrated fusion-system modules and piping.
papers_534.jpeg,Interior layout of the containment simulation vessel.
papers_1883.jpeg,Cutaway view of the deteriorated lower section of the second individual fuel rod.
web_258.jpeg,NorthStar RadioGenix molybdenum-99 production unit with uranium-free target labeling.
papers_39102.jpeg,Interior view of the OPAL research reactor.
web_468.jpeg,Image of the Mega Amp Spherical Tokamak (MAST) Upgrade fusion machine.
malradai_102.jpeg,BN-1200 nuclear reactor.
web_65.jpeg,Interior of the Budapest Research Reactor (BRR) VVR-type reactor hall.
malradai_384.jpeg,OSMOSE oscillation waveform
web_280.jpeg,Cutaway view of a multi-hole proton-beam collimator plate for high-power accelerator systems.
malradai_227.jpeg,Image of a combined cycle power plant gas turbine rotor showing compressor blades at the front and turbine blades at the back.
encycl_879.jpeg,Clamp-mounted source and detector assembly on a vertical multiphase transport pipeline for individual phase fraction sensing.
encycl_68.jpeg,Mark III containment layout.
encycl_638.jpeg,Concept rendering of a liquid-metal-cooled JIMO reactor assembly.
encycl_228.jpeg,Three-quarter quasi-isometric cutaway view of the ALLEGRO nuclear power plant.
web_532.jpeg,Inside view of the Reactor Pressure Vessel at Rooppur Unit 2.
web_357.jpeg,Nuclear-powered icebreaker Stalingrad exterior view with visible dual-reactor propulsion compartments.
encycl_734.jpeg,Labeled schematic diagram of the EU DEMO reactor showing its main components.
papers_46361.jpeg,Ventilation Filter Testing Facility.
malradai_160.jpeg,Standard layout of a high-temperature reactor core.
web_388.jpeg,"The MBIR reactor complex is under construction at NIIAR, with cranes and unfinished concrete structures visible."
malradai_46.jpeg,Pool-type sodium-cooled fast reactor system.
malradai_408.jpeg,Labeled bituminized sludge drums for intermediate-level long-lived radioactive waste
web_453.jpeg,A compact Direct Fusion Drive nuclear fusion engine module
web_202.jpeg,Molten-salt noble-gas experimental cell at ORNL.
malradai_337.jpeg,Block view with water passages uniformly plugged by steel mandrels.
web_360.jpeg,Spider-like robot attached to a curved reactor-vessel weld seam for automated inspection scanning.
web_221.jpeg,ORNL Spallation Neutron Source accelerator beamline with visible 1.7-MW operation display.
encycl_844.jpeg,Scientific instruments inside a cold neutron research facility.
encycl_67.jpeg,"Cutaway diagram of an ABWR reactor building, control building, and turbine building."
web_363.jpeg,Proton therapy beam gantry equipment in a hospital treatment room.
web_269.jpeg,ST25-HTS spherical tokamak equipped with high-temperature superconducting magnet coils.
web_160.jpeg,Inside the CFS Tokamak Hall as the SPARC fusion tokamak is under construction.
papers_1919.jpeg,Thermocouple holder setup mounted above the fuel assembly.
web_249.jpeg,Kairos Power instrumentation test unit for a fluoride-salt-cooled high-temperature reactor system.
web_54.jpeg,Complete REMIX uranium-plutonium fuel bundle for VVER-1000 reactors.
web_187.jpeg,GRETA gamma-ray tracking detector modules containing high-purity germanium crystal assemblies.
encycl_626.jpeg,Compact Brayton Rotating Unit (Mini-BRU).
papers_12536.jpeg,View of the ACME Facility.
web_536.jpeg,NASA Multi-Mission Radioisotope Thermoelectric Generator (MMRTG) hardware.
web_286.jpeg,Overhead view of Idaho National Laboratory’s TREAT transient test reactor.
papers_34774.jpeg,LR-0 reactor special core showing an aluminum dry hexagonal channel positioned at the center of the core.
web_318.jpeg,A view of the TRIGA Mark II research reactor at Slovenia’s Jožef Stefan Institute.
encycl_513.jpeg,Diagram of high-level waste packaging.
web_135.jpeg,Conceptual Idaho Falls facility featuring Aalo sodium-cooled micro-fission reactor units.
encycl_325.jpeg,NIKIET-developed SHELF small modular reactor arrangement.
web_73.jpeg,Interior hall of the CVR light-water research reactor at Rez with fuel-materials testing equipment.
web_477.jpeg,"Junior, a prototype fusion energy device in a New Zealand laboratory."
malradai_18.jpeg,Representative radial heterogeneous layouts of sodium-cooled fast reactor cores.
web_301.jpeg,"NAC OPTIMUS-H Type-B(U)F-96 transport cask in high-shielded configuration, a heavy cylindrical containment vessel."
web_459.jpeg,An employee at the Palo Verde Generating Station assists with moving a fresh fuel assembly at the Arizona site
encycl_512.jpeg,MOX waste supercontainers
encycl_752.jpeg,Photograph of the Omega-EP beamline system.
web_310.jpeg,An installed silo emptying machine inside the Magnox Swarf Storage Silo at the U.K. Sellafield site.
web_71.jpeg,SiGA SiC-composite boiling-water-reactor fuel-channel mockup.
papers_33253.jpeg,Image showing the AM test geometry.
encycl_456.jpeg,GeoMelt vitrification equipment at a United Kingdom intermediate-level waste demonstration site.
web_488.jpeg,A nuclear power plant construction site with Chinese signage.
web_130.jpeg,Loki Moon-based micro-modular fission reactor design.
malradai_79.jpeg,Advanced light water reactor assembly cluster featuring upper and lower end pieces; control rods extend downward into five of the nine moderator boxes from the top.
papers_7502.jpeg,Element test: a sample is positioned at the center of the reaction frame.
encycl_523.jpeg,A high-purity germanium detector positioned inside a lead shielding enclosure.
web_442.jpeg,A Hinkley Point C reactor vessel is being moved.
web_432.jpeg,A full-scale Last Energy Nuclear Island prototype displayed in Warsaw.
web_236.jpeg,"NS Savannah, a nuclear-powered merchant vessel underway at sea."
web_93.jpeg,Massive toroidal field coil box for a large-scale fusion magnet system.
papers_39830.jpeg,Diagram of the source holder in the 8x1 arrangement.
web_248.jpeg,Argonne National Laboratory hot cell containing molybdenum-99 purification equipment.
web_79.jpeg,BN-800 fast reactor MOX fuel assembly bundles.
web_84.jpeg,Removed VVER-440 reactor parts at the Bohunice V1 decommissioning site.
web_2.jpeg,Segment of the Zero Energy Thermonuclear Assembly (ZETA) nuclear fusion experiment.
web_52.jpeg,Cross-section of an FCM fuel pellet showing TRISO particle spheres dispersed throughout a silicon carbide matrix.
web_255.jpeg,View of the SLOWPOKE-2 research reactor core at the Royal Military College of Canada.
web_165.jpeg,UNITY-2 tritium fuel-cycle test facility with industrial piping.
web_47.jpeg,Framatome PROtect EATF fuel assembly featuring chromium-coated rods.
papers_50049.jpeg,Cobalt-60 target holder with a dummy target and a pen for size reference.
web_260.jpeg,"Chinese molten-salt test loop equipment with pipes, valves, tanks, and instrumentation for thorium reactor research."
encycl_988.jpeg,Diagram of NuScale Power’s reactor design.
papers_21502.jpeg,Perforated sparger header dispersing bubbles or jets into a pool of coolant
web_121.jpeg,National Ignition Facility target chamber for repeated inertial-fusion ignition shots.
encycl_788.jpeg,A triple-axis spectrometer positioned in BATAN's RSG-GAS research reactor facility.
encycl_763.jpeg,Radiation-treated silicon ingots.
web_252.jpeg,Diagram of the Westinghouse eVinci heat-pipe microreactor core.
web_439.jpeg,The Aalo Atomics Critical Test Reactor facility at Idaho National Laboratory.
web_511.jpeg,Workers installing the core barrel at Rooppur Unit 1 in Bangladesh.
web_231.jpeg,Visualization of General Atomics’ steady-state advanced tokamak fusion pilot plant.
encycl_519.jpeg,Small GM-detector used for inspecting the inside of a pipe
web_274.jpeg,An ultrahigh intensity laser experiment target chamber at Colorado State University.
papers_43920.jpeg,Thermocouples installed inside an irradiation capsule to monitor the temperature of irradiated material samples.
papers_50297.jpeg,Photo of an actual bent fuel assembly.
web_510.jpeg,A spacecraft employing nuclear thermal propulsion in orbit.
encycl_751.jpeg,Photo of the driver modules for the Omega-60 laser.
papers_45471.jpeg,A layout diagram of MYRRHA.
encycl_794.jpeg,Image of the MARCH system being lowered into the TREAT reactor core.
web_412.jpeg,Graphite moderator blocks within an advanced gas-cooled reactor core.
malradai_364.jpeg,Close-up view of gray metal uranium terminal blocks labeled U-235
web_529.jpeg,"A technician in the NIF laser chamber, with a fusion fuel capsule positioned at the center of a small cylindrical hohlraum."
malradai_97.jpeg,A sodium test apparatus for a decay heat removal system.
web_364.jpeg,SPARC tokamak facility showing an HTS magnet array encircling the central vacuum-vessel assembly.
encycl_744.jpeg,A view of the National Ignition Facility laser bay.
papers_38496.jpeg,Thermocouple-equipped support frames submerged in the TRIGA pool.
encycl_934.jpeg,A compact portable sealed-tube neutron generator with rugged housing and service connectors in an industrial inspection setting.
web_62.jpeg,Paks-3 reactor hall while new-design VVER-440 fuel assemblies are being loaded.
web_158.jpeg,FLUX ultrabroadband laser setup in an inertial-fusion LPI lab.
papers_7143.jpeg,Scale model of a NuScale power module.
encycl_632.jpeg,Cross-section of the Advanced Stirling Radioisotope Generator (ASRG).
web_97.jpeg,Inside view of the Wendelstein 7-X stellarator fusion chamber.
web_356.jpeg,"Utah San Rafael Energy Lab research facility showing molten-salt test loop piping, insulated vessels, gauges, sensors, and instrumentation."
encycl_1.jpeg,"Assortment of high-purity germanium detectors with attached cooling dewars from Mirion Technologies, Inc."
web_247.jpeg,Cross-sectional view of the ALFRED reactor design.
web_426.jpeg,Visualization showing Last Energy’s PWR-20 reactor and surrounding nuclear island.
encycl_791.jpeg,Overhead photograph of the Transient Reactor Test (TREAT) facility.
web_438.jpeg,RITM-400 reactor module on the Rossiya nuclear icebreaker.
web_340.jpeg,Nuclear icebreaker Chukotka undergoing emergency diesel generator trials
web_392.jpeg,Copenhagen Atomics onion-core installation.
papers_26571.jpeg,Passive residual heat removal setup featuring a turbocharger.
web_418.jpeg,An Astral deuterium-deuterium (DD) fusion reactor assembly.
web_45.jpeg,Nuclear fuel assemblies being inserted into the KLT-40S reactor aboard the Akademik Lomonosov floating power plant.
encycl_986.jpeg,A broad panoramic view of a Cobalt-60 wet-storage multipurpose gamma irradiation facility.
web_441.jpeg,A large inner safety dome is being positioned on the containment building at the Zhangzhou nuclear power plant in China.
papers_52922.jpeg,Hodoscope diagram.
web_32.jpeg,Blue Cherenkov light shining in the FRM-II reactor pool above the high-flux research reactor core.
web_314.jpeg,Technicians examining the process-gas filtration assembly at the Idaho Integrated Waste Treatment Unit.
web_245.jpeg,"Relativistic Heavy Ion Collider facility at Brookhaven National Laboratory, a large-scale particle accelerator complex."
malradai_381.jpeg,Cylindrical “milk can” sample transfer container between the cell and the MINERVE reactor chimney
web_514.jpeg,"A real photograph of two small modular reactor displays, labeled KGHM Polska Miedz on the left and NuScale on the right."
malradai_5.jpeg,"Gas-cooled fast reactor schematic with helium coolant flowing through a fast neutron reactor core, closed fuel cycle equipment, an outlet temperature marked around 850°C, and a direct Brayton gas turbine power cycle."
encycl_623.jpeg,Flight-ready radioisotope power source modules on spacecraft hardware.
encycl_651.jpeg,Several W/UO2 fuel specimens.
web_126.jpeg,Divertor module from the Helion Trenta fusion prototype.
web_43.jpeg,Concept depiction of a MARVEL sodium-potassium-cooled microreactor.
encycl_836.jpeg,Interior view of the FRM II reactor hall.
malradai_396.jpeg,Fast reactor vessel with a core model
papers_45721.jpeg,The IPEN fuel assembly calorimeter vessel and its cover immersed in the IEA-R1 reactor pool.
web_96.jpeg,ITER tokamak pit showing mounted vacuum-vessel segments during fusion-chamber assembly.
web_88.jpeg,Prototype OpenStar levitated-dipole fusion reactor setup
web_297.jpeg,"A labeled high-burnup research cask at the North Anna ISFSI, set among multiple standard dry-storage casks."
encycl_213.jpeg,CLFR reactor diagram.
web_395.jpeg,Rolls-Royce compact nuclear microreactor concept image.
malradai_377.jpeg,"Gamma spectrometry setup on EOLE/MINERVE critical assemblies, with UO2 or MOX fuel rods positioned below a germanium detector"
encycl_649.jpeg,Complete KRUSTY test assembly with the white BeO reflector on the platen and the shield block and vacuum chamber overhead.
malradai_228.jpeg,Image of a combined-cycle power plant steam turbine with its casing opened.
web_49.jpeg,Low-enriched uranium experimental fuel assembly for the BR2 research reactor.
papers_27271.jpeg,General view of the spent nuclear fuel transport cask.
papers_36875.jpeg,BREST-OD-30 reactor cutaway view.
malradai_371.jpeg,Glovebox containing electrodeposition assemblies
web_232.jpeg,"LLNL photograph of curium crystals, transparent under regular lighting and pink-red under ultraviolet illumination during crystallography."
web_184.jpeg,Niobium-tin superconducting accelerator cavity with a polished multi-cell structure in a proton LINAC assembly.
encycl_100.jpeg,Exterior view of the HTR-10 high-temperature gas-cooled reactor facility in China.
malradai_380.jpeg,MINERVE reactor automatic control rod showing cadmium segments
malradai_78.jpeg,Drawing of a high-performance light water reactor fuel assembly.
encycl_733.jpeg,Diagram of the ITER tokamak with key components labeled.
encycl_635.jpeg,Schematic of a liquid metal cooled reactor subsystem from the JIMO/Prometheus program.
web_327.jpeg,Grohnde nuclear power plant fuel storage hall containing CASTOR casks for spent nuclear fuel handling.
web_40.jpeg,Westinghouse LEU+ ADOPT fuel pellets marked with 8% U-235 enrichment.
encycl_80.jpeg,"Cutaway view of an Economic Simplified Boiling Water Reactor complex showing the reactor, fuel, control, and turbine buildings."
encycl_636.jpeg,Conceptual gas-cooled JIMO reactor design.
web_131.jpeg,Portable Pele HALEU-TRISO microreactor scale model.
malradai_75.jpeg,Diagram of the Canadian supercritical water-cooled reactor core.
web_366.jpeg,Holtec HI-STAR 149 spent nuclear fuel storage and transport cask.
web_474.jpeg,Overhead view of a greater-than-Class C waste canister.
web_502.jpeg,A concept visualization of a European Space Agency spacecraft equipped with nuclear-electric propulsion.
web_48.jpeg,TVEL TVS-K nuclear fuel assembly for Western-style PWR reactors.
papers_22403.jpeg,Technical schematic of the NHR200-II spacer grid.
web_306.jpeg,DOE Type-B spent nuclear fuel transport cask with a heavy shielded body and bolted closure.
web_153.jpeg,Deimos THETA criticality-test apparatus arranged for HALEU TRISO fuel transport.
encycl_321.jpeg,"ABV-6M small modular reactor assembly showing compact vessel, piping, and module layout."
encycl_989.jpeg,Urenco U-Battery reactor concept.
web_398.jpeg,The MBIR fast neutron research reactor facility under construction in western Russia.
web_66.jpeg,TVS-2M VVER-1000 fuel assembly model showing a REMIX-fuel rod layout.
web_455.jpeg,A 3D view of General Fusion's commercial Magnetized Target Fusion reactor design.
web_127.jpeg,EAST superconducting tokamak showing a 403-second steady-state fusion plasma run.
web_182.jpeg,Radioactive material specimen mounted for X-ray analysis at Argonne's Advanced Photon Source.
web_100.jpeg,First Light Fusion projectile-powered inertial fusion system.
web_111.jpeg,High-magnetic-field spherical tokamak fusion pilot plant design.
web_270.jpeg,Newly produced yttrium hydride specimens being taken out of ORNL's hydride-production apparatus.
encycl_510.jpeg,Supercontainers for vitrified nuclear waste.
web_108.jpeg,A one-megawatt electron-cyclotron resonance heating gyrotron installed beside the ST40 spherical tokamak fusion device.
web_115.jpeg,LVR-15 reactor hall showing STEP fusion magnet HTS irradiation test rig.
encycl_615.jpeg,A SNAP-3B radioisotope thermoelectric generator.
web_253.jpeg,High-speed footage of a fuel-rod transient experiment at INL’s Transient Reactor Test Facility
web_149.jpeg,Nuclear fuel rod unloading within an Idaho National Laboratory Hot Fuel Examination Facility hot cell.
malradai_370.jpeg,Glovebox containing electrodeposition apparatus
malradai_129.jpeg,Hydrogen production test facility rated for 50 normal liters per hour.
web_430.jpeg,Posiva's underground spent nuclear fuel repository facility.
web_63.jpeg,Additively manufactured BWR fuel-channel fastener component.
malradai_15.jpeg,Overhead view of an actual reactor core.
malradai_229.jpeg,Photograph of a low-power dual-flow steam turbine rotor with mounted blade rows and exposed shaft assembly.
web_7.jpeg,"Support panel holding a cutaway segment of the ""OSWALD 2"" controlled nuclear fusion reactor."
papers_54337.jpeg,CASTOR Ib once loaded.
encycl_723.jpeg,Magnetic confinement fusion reactor apparatus.
web_24.jpeg,BN-600 OS-5 nitride fast-reactor fuel assembly with visible liquid-metal interlayer.
encycl_857.jpeg,Overhead view of the MITR core tank.
malradai_409.jpeg,Long-lived intermediate-level waste encased in concrete
web_219.jpeg,"INL's PCAT apparatus secured on transport skids, with CEI and MARVEL microreactor thermal-hydraulic testing labels visible."
encycl_746.jpeg,Interior view of the National Ignition Facility target chamber showing the visible target position.
web_491.jpeg,The OPAL nuclear research reactor facility in Lucas Heights near Sydney.
web_15.jpeg,A view of the fuel pool at the Balakovo-1 VVER-1000 nuclear power plant.
web_475.jpeg,Wisconsin’s WHAM high-field axisymmetric mirror experiment facility.
malradai_53.jpeg,Diagram of the Pb-Bi-cooled direct-contact boiling water fast reactor (PBWFR).
web_520.jpeg,A real photograph showing the ST40 spherical tokamak from a head-on front angle.
encycl_735.jpeg,Diagrammatic layout of the Chinese Fusion Engineering Test Reactor.
papers_42705.jpeg,Thermo-mechanical test setup inside an underground KGF chamber.
papers_4034.jpeg,Radiant furnace set up to heat a debris particle bed.
web_513.jpeg,Chinese Xudabao 3 vessel during hydrostatic pressure testing.
papers_41555.jpeg,"Diagrams and layout views of the REMCOD E-series facility, showing the REMCOD-E08 apparatus for preheating debris beneath the melt solidification temperature."
web_405.jpeg,A large circular PF6 poloidal field coil suspended above the ITER Tokamak pit.
web_95.jpeg,ITER 170-GHz gyrotron unit mounted in a fusion electron-cyclotron resonance heating system.
encycl_322.jpeg,VBER-300 small modular reactor layout with OKBM Afrikantov labeling.
encycl_712.jpeg,A large ITER vacuum vessel sector being manufactured inside an industrial assembly hall.
web_1.jpeg,Cutaway model of a reactor from Calder Hall nuclear power station.
encycl_622.jpeg,Cross-section of the Multi-Mission Radioisotope Thermoelectric Generator (MMRTG).
